,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1,frozenset({'LowPoints'}),frozenset({'LowPrice'}),0.680580402,0.848724574,0.640488968,0.94109229,1.108831202,0.062863657,2.568007226
0,frozenset({'LowPrice'}),frozenset({'LowPoints'}),0.848724574,0.680580402,0.640488968,0.754648785,1.108831202,0.062863657,1.301887166
3,frozenset({'California'}),frozenset({'LowPrice'}),0.294891672,0.848724574,0.239097595,0.810798059,0.955313518,-0.011184214,0.799544786
2,frozenset({'LowPrice'}),frozenset({'California'}),0.848724574,0.294891672,0.239097595,0.281714,0.955313518,-0.011184214,0.981654005
4,frozenset({'HighPoints'}),frozenset({'LowPrice'}),0.319419598,0.848724574,0.208235606,0.651918689,0.768115722,-0.062863657,0.434597954
5,frozenset({'LowPrice'}),frozenset({'HighPoints'}),0.848724574,0.319419598,0.208235606,0.245351215,0.768115722,-0.062863657,0.901850524
6,frozenset({'California'}),frozenset({'LowPoints'}),0.294891672,0.680580402,0.197714172,0.670463737,0.98513524,-0.00298332,0.969300299
7,frozenset({'LowPoints'}),frozenset({'California'}),0.680580402,0.294891672,0.197714172,0.290508178,0.98513524,-0.00298332,0.993821643
10,"frozenset({'California', 'LowPoints'})",frozenset({'LowPrice'}),0.197714172,0.848724574,0.179778705,0.909285882,1.071355666,0.011973829,1.667606198
8,"frozenset({'LowPrice', 'California'})",frozenset({'LowPoints'}),0.239097595,0.680580402,0.179778705,0.751905118,1.104799839,0.017053568,1.287489674
12,frozenset({'California'}),"frozenset({'LowPrice', 'LowPoints'})",0.294891672,0.640488968,0.179778705,0.60964321,0.951840297,-0.009096157,0.920980603
9,"frozenset({'LowPrice', 'LowPoints'})",frozenset({'California'}),0.640488968,0.294891672,0.179778705,0.280689776,0.951840297,-0.009096157,0.980256231
13,frozenset({'LowPoints'}),"frozenset({'LowPrice', 'California'})",0.680580402,0.239097595,0.179778705,0.264154984,1.104799839,0.017053568,1.034052537
11,frozenset({'LowPrice'}),"frozenset({'California', 'LowPoints'})",0.848724574,0.197714172,0.179778705,0.211822199,1.071355666,0.011973829,1.017899548
15,frozenset({'HighPrice'}),frozenset({'HighPoints'}),0.151275426,0.319419598,0.111183993,0.734977225,2.300977236,0.062863657,2.568007226
14,frozenset({'HighPoints'}),frozenset({'HighPrice'}),0.319419598,0.151275426,0.111183993,0.348081311,2.300977236,0.062863657,1.301887166
